品番,品名,メーカー,カテゴリ,原価,単価,単位,備考
TV-SN-32W730,BRAVIA 32V型 液晶テレビ KJ-32W730K,Sony,テレビ,48000,68000,台,ホテル向け定番モデル
TV-PA-32J300,VIERA 32V型 液晶テレビ TH-32J300,Panasonic,テレビ,42000,62000,台,省エネ対応
TV-SH-32BE1,AQUOS 32V型 液晶テレビ 2T-C32BE1,Sharp,テレビ,38000,55000,台,コスト重視モデル
TV-SN-43X80K,BRAVIA 43V型 4K液晶テレビ KJ-43X80K,Sony,テレビ,78000,108000,台,4K対応
TV-PA-43LX900,VIERA 43V型 4K液晶テレビ TH-43LX900,Panasonic,テレビ,75000,105000,台,4K有機EL
TV-LG-43UR8000,LG 43V型 4K液晶テレビ 43UR8000PJB,LG,テレビ,65000,92000,台,ホテルモード搭載
TV-TC-43P63J,TCL 43V型 4K液晶テレビ 43P63J,TCL,テレビ,52000,78000,台,コストパフォーマンス重視
TV-SN-50X80K,BRAVIA 50V型 4K液晶テレビ KJ-50X80K,Sony,テレビ,95000,130000,台,4K HDR対応
TV-PA-50LX900,VIERA 50V型 4K液晶テレビ TH-50LX900,Panasonic,テレビ,92000,128000,台,有機EL
TV-LG-50UR8000,LG 50V型 4K液晶テレビ 50UR8000PJB,LG,テレビ,82000,118000,台,ホテルモード搭載
TV-SN-55X80K,BRAVIA 55V型 4K液晶テレビ KJ-55X80K,Sony,テレビ,115000,155000,台,スイート推奨
TV-PA-55LX900,VIERA 55V型 4K有機ELテレビ TH-55LX900,Panasonic,テレビ,120000,165000,台,プレミアム画質
TV-LG-55UR8000,LG 55V型 4K液晶テレビ 55UR8000PJB,LG,テレビ,88000,125000,台,ホテルモード搭載
WIFI-CI-MR36,Cisco Meraki 無線AP MR36,Cisco,Wi-Fi機器,52000,78000,台,クラウド管理対応
WIFI-AR-AP515,Aruba 無線AP AP-515,Aruba,Wi-Fi機器,48000,72000,台,Wi-Fi 6対応
WIFI-YA-RTX830,YAMAHA ギガビットVPNルーター RTX830,YAMAHA,Wi-Fi機器,58000,82000,台,ビジネス定番
WIFI-CI-C1200,Cisco Catalyst 1200 PoEスイッチ 24ポート,Cisco,Wi-Fi機器,95000,135000,台,PoE給電対応
WIFI-BF-WSR3200,バッファロー Wi-Fi 6ルーター WSR-3200AX4S,バッファロー,Wi-Fi機器,12000,18000,台,小規模エリア向け
WIFI-NE-WG2600,NEC Aterm 無線ルーター WG2600HS2,NEC,Wi-Fi機器,9000,14000,台,小規模エリア向け
CAB-SW-LAN10,サンワサプライ LANケーブル Cat6A 10m,サンワサプライ,配線・部材,800,1500,本,通信品質重視
CAB-SW-LAN30,サンワサプライ LANケーブル Cat6A 30m,サンワサプライ,配線・部材,2200,3800,本,長尺用
CAB-EL-HDMI3,エレコム HDMIケーブル 3m,エレコム,配線・部材,600,1200,本,4K/60Hz対応
CAB-EL-HDMI5,エレコム HDMIケーブル 5m,エレコム,配線・部材,900,1800,本,4K/60Hz対応
PART-VM-3255,VESAマウント壁掛け金具 32-55型対応,汎用,配線・部材,2000,3800,個,可動式アーム
PART-WALL-SET,壁内配線資材セット（モール・ボックス他）,汎用,配線・部材,3500,6500,セット,1箇所分
PART-TAP-8,電源タップ 8口 雷サージ対応,ELPA,配線・部材,1800,3200,個,客室用
WORK-TV-INST,テレビ設置工事,自社,工事費,6000,12000,台,1台あたり
WORK-LAN-INST,LAN配線工事,自社,工事費,4000,8500,箇所,1箇所あたり
WORK-AP-INST,無線AP設置・設定工事,自社,工事費,5000,10000,台,1台あたり
WORK-REMOVE,既存機材撤去・処分費,自社,工事費,2000,4500,台,産廃処理費込み
WORK-TRANS,現地交通費,自社,工事費,3000,5000,回,東京都内
WORK-MGT,諸経費（現場管理費）,自社,工事費,0,15000,式,1案件あたり
WORK-SURVEY,現地調査費,自社,工事費,5000,10000,回,初回無料対応可
